snippet1	snippet2	similarity	companies1	companies2	company_similarity	country1	country2	country_similarity	similarity_range
Profile Aon Plc engages in the provision of risk, health, and wealth solutions	AON had a net margin of 20.75% and a return on equity of 1,165.31%	0.5293256820304525	['aon']	['aon']	1.0000000000000002	US	US	1.0	(0.5, 0.6]
Aon plc Sees Significant Increase in Short Interest	HCL Tech has delivered better results in comparison to Infosys and TCS, say market expertsHCL Tech	0.18454273424557405	['aon']	['infosys', 'hcl technologies']	0.952308126132678	US	IN	0.5367935299873352	(0.1, 0.2]
Profile () Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services	Cognizant Technology Solutions had a net margin of 11.79% and a return on equity of 18.92%	0.5353954501119187	['cognizant technology solutions']	['cognizant technology solutions']	1.0000000000000002	CA	US	0.6992766857147217	(0.5, 0.6]
Infosys had a net margin of 16.37% and a return on equity of 31.78%	Infosys had a return on equity of 31.78% and a net margin of 16.37%	0.9925643291420758	['infosys']	['infosys']	1.0	CH	US	0.5043016076087952	(0.9, 1.0]
Some of the key U.S. hardware encryption market players profiled in the report include International Business Machines Corporation,	At the time of launch, IBM highlighted its capabilities that can reduce energy consumption	0.34463207148493585	['ibm']	['ibm']	0.9999999999999999	US	IN	0.5367935299873352	(0.3, 0.4]
IBM has announced the general availability of LinuxONE Bare Metal Servers	With the LinuxONE bare metal server in the list, IBM, in total offers three proprietary hardware platforms in its cloud now	0.8318901487884891	['ibm']	['ibm']	0.9999999999999999	IN	IN	1.0000001192092896	(0.8, 0.9]
IBM offers its enterprise-grade Linux platform as a service on IBM cloud	The smart contract has been audited by PwC	0.12389921112973125	['ibm']	['pricewaterhousecoopers']	0.7352658366320254	IN	FR	0.5839036107063293	(0.1, 0.2]
"PwC"" refers to PricewaterhouseCoopers LLP, an Ontario limited liability partnership."	Wipro employees need to undergo retraining	0.23058442097071322	['pricewaterhousecoopers', 'ontario']	['wipro']	0.9525941664612498	CA	US	0.6992766857147217	(0.2, 0.3]
Equitis Gestion has provided the role of the initial fiduciary, while PwC has audited the smart contract	Pieter Laan of Ernst & Young Accountants LLP, The Netherlands, and Alberto Romeo of EY S.p.A. were present in person	0.37329204937282	['pricewaterhousecoopers']	['ernst & young llp']	0.5330760003405258	SE	NL	0.662692129611969	(0.3, 0.4]
Neurodiversity Training International has been operating since August 2020 and has completed training sessions with IBM	Gartner’s annual CEO survey consistently shows business growth as the highest priority for top executives	0.12837816916380484	['ibm']	['gartner']	0.5935407032832408	GB	US	0.7544673085212708	(0.1, 0.2]
Deloitte and PWC Jesper has held management positions in Falck and last as CFO from the SaaS startup AskCody	It further noted that TCS, LTIMindtree, HCL Technologies and Mphasis were most at risk of multiple downgrades while Infosys, Wipro and TechM faced greater earnings risks	0.2818452026981822	['pricewaterhousecoopers', 'deloitte']	['wipro']	0.9840755422461245	SE	IN	0.5260483026504517	(0.2, 0.3]
the report said both TCS and Infosys had very disappointing Q4 numbers that brought these concerns	IBM will also provide its knowledge to help Moderna explore the potential use cases of quantum technologies in life sciences	0.2062250062955888	['infosys', 'tcs']	['ibm']	0.7216628560304008	IN	US	0.5367935299873352	(0.2, 0.3]
Moderna and IBM scientists will also use an AI foundation model known as MoLFormer, to predict the physical properties of a molecule and understand the characteristics of potential mRNA medicines	Moderna has signed an agreement with IBM to explore quantum computing and generative artificial intelligence for advancing and expediting its mRNA research	0.49164555675264854	['ibm', 'moderna']	['ibm', 'moderna']	1.0	US	US	1.0	(0.4, 0.5]
Moderna will gain access to IBM’s quantum computing systems, an emerging technology that harnesses quantum mechanics for solving complex problems that cannot be handled efficiently	Wipro Consumer Care and Lighting on Thursday announced the execution of a definitive agreement to acquire Brahmins	0.08304841546439264	['ibm', 'moderna']	['wipro']	0.7100457873512831	US	IN	0.5367935299873352	(-0.001, 0.1]
Wipro has taken the route towards adding Brahmins, a home grown legacy brand in Kerala, into its growing Food Business	Wipro Consumer Care buys Kerala-based Brahmins	0.7777449303741474	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.7, 0.8]
to Cook category, Wipro has taken the route towards adding Brahmins, a home grown legacy brand in Kerala, into its growing Food Business	Prior to the case settling last year, insolvent Quinn Insurance was seeking €900 million for PwC’s supposed negligent auditing of the business between 2005 and 2008	0.12352991882049112	['wipro']	['pricewaterhousecoopers', 'quinn']	0.9433356073186846	IN	GB	0.5888364911079407	(0.1, 0.2]
PwC paid €53 million to make the €900 million lawsuit	PwC, which denied negligence, was also sued for breach of contract and duty	0.6718520838918808	['pricewaterhousecoopers']	['pricewaterhousecoopers']	1.0	IE	GB	0.6723213791847229	(0.6, 0.7]
Citing people familiar with the settlement, the publication said neither PwC nor Quinn Insurance’s administrators have confirmed the sum	Some of the growth indicated by HCL Tech is running contrary to the commentary provided by both Tata Consultancy Services Ltd. and Infosys Ltd., especially within sub-verticals of BFSI, the company said	0.16996051212279112	['pricewaterhousecoopers']	['tata consultancy services', 'hcl technologies']	0.9135888093875093	IE	IN	0.6259321570396423	(0.1, 0.2]
IBM’s revenue today is lower than it was at the end of 2001	IBM and Capgemini have over 1 lakh employees each here	0.48291351283217315	['ibm']	['ibm']	0.9999999999999999	US	IN	0.5367935299873352	(0.4, 0.5]
IBM to use quantum computing and AI in medical research	Infosys put up a weak show	0.043545352043716325	['ibm']	['infosys']	0.7279356332899384	GB	IN	0.5888364911079407	(-0.001, 0.1]
Accenture reports that 63 per cent of CEOs pointed out difficulty in measuring environmental, social and corporate governance data across the value chain as a major obstacle to achieving sustainability	Under the programme, UN Global Compact in collaboration with Accenture, a global digital, cloud and security services company aims to incorporate and advance sustainability across Dangote Group supply chain in Nigeria	0.3928262715701705	['accenture']	['accenture']	1.0	NG	NG	1.0	(0.3, 0.4]
Infosys founder Narayana Murthy has a different perspective on the growing importance of AI	However, as per information from the Indian Express, Infosys founder Narayana Murthy has a different perspective on the growing importance of AI	1.0	['infosys']	['infosys']	1.0	US	US	1.0	(0.9, 1.0]
Shares of Tech Mahindra(up 0.78 per cent), Wipro(up 0.57 per cent) and Tata Consultancy(up 0.49 per cent) ended the day as top gainers in the pack	In fact, ITC's recent surge is slowly narrowing the gap in market capitalisation with India's second largest IT services company Infosys	0.3205066575831691	['tata consultancy services', 'wipro']	['infosys', 'itc']	0.9189134625055014	IN	IN	1.0000001192092896	(0.3, 0.4]
HCL Technologies(up 1.73 per cent), Wipro(up 0.66 per cent), Infosys(up 0.34 per cent), Tata Consultancy(up 0.25 per cent) and LTIMindtree Ltd(up 0.17 per cent) were among the top gainers	GlobalFoundries and IBM worked together on the chip technology for decades, and the former had exclusive licensing rights on the IP since 2015	0.29052780782929694	['wipro']	['ibm', 'globalfoundries']	0.9418064730456317	IN	US	0.5367935299873352	(0.2, 0.3]
IBM is seemingly trying to recruit GlobalFoundries engineers at an accelerated pace	GlobalFoundries says IBM is infringing its IP	0.567497340658834	['ibm', 'globalfoundries']	['ibm']	0.8981127702039488	US	US	1.0	(0.5, 0.6]
Furthermore, besides spilling its trade secrets to competitors, IBM is seemingly trying to recruit GlobalFoundries engineers at an accelerated pace after partnering with Rapidus in December 2022	besides spilling its trade secrets to competitors, IBM	1.0	['ibm']	['ibm']	0.9999999999999999	US	US	1.0	(0.9, 1.0]
The Nifty losers include Tech Mahindra, Tata Steel, Hindalco, JSW Steel, and UltraTech, while BPCL, ITC, Asian Paints, Wipro, and Kotak Bank are among the Nifty gainers	Leading IT companies such as TCS, Infosys and HCLTech have highlighted weaknesses and challenges in BFSI, Telecom, Hi-tech, Manufacturing and retail verticals as clients	0.3991111482868468	['wipro', 'asian paints']	['infosys']	0.986815876359958	IN	IN	1.0000001192092896	(0.3, 0.4]
On the other hand, IBM traded in the green after it said margins were expanding,” reported Trading Economics	In addition to funding and support from AIB and the REDF, PorterShed is also backed by KPMG	0.2525331637171979	['ibm']	['kpmg']	0.6113164323692261	ZA	IE	0.5264227986335754	(0.2, 0.3]
Infosys and Nestle on the other hand are among the top losers today	Wipro arm acquires Kerala-based ready-to-cook brand Brahmins	0.058002059208512924	['infosys']	['wipro']	0.9898891257498994	US	IN	0.5367935299873352	(-0.001, 0.1]
The 6thannual political risk survey produced by WTW, found that an unprecedented 92%	Accenture, Mynt and Maya made it to the top three spots of LinkedIn’s 2023 Top Companies List in the Philippines, the third rendition of the yearly roll, which draws data from the professional networking-focused social media platform	0.18124075278359156	['wtw']	['accenture', 'mynt']	0.7450158778461407	GB	PH	0.5305006504058838	(0.1, 0.2]
at Accenture, where he led the Workforce Excellence offering for the Travel practice,	FTI Consulting has bolstered its Aviation practice in Europe with the hire of a team of four consultants, who have joined the firm’s Amsterdam and London offices	0.4418329284435368	['accenture']	['fti consulting']	0.6874856245649726	NL	FR	0.6509503722190857	(0.4, 0.5]
At FTI Consulting, Jacobi has been appointed at Senior Director, based in London, while Zhiguleva has been installed as a Director, operating out of Amsterdam	FTI Consulting welcomes human capital-focused aviation team	0.470687857619295	['fti consulting']	['fti consulting']	1.0	NL	FR	0.6509503722190857	(0.4, 0.5]
Wipro, best known for its soap brand Santoor and Yardley talcum powder, aims to expand and consolidate its business in the spices, breakfast and ready-to-cook category	"The high-quality standards adopted by Brahmins have played a key role in making it one of the most significant players in the market,"" said Vineet Agrawal, CEO of Wipro Consumer and MD at Wipro Enterprises"	0.3749515590369363	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.3, 0.4]
Maersk (Maersk) and IBM had managed to obtain commitments for over 50 percent of the global shipping container	technology services and consulting firm Accenture emerged as the top company	0.16087477469115555	['ibm']	['accenture']	0.7565876690497543	SE	PH	0.5698935985565186	(0.1, 0.2]
Gartner, Inc. Sees Significant Growth in Short Interest	Recognizing this need, Gartner has identified Appknox as the leading solution for addressing mobile app security requirements	0.20861888839287268	['gartner']	['gartner']	0.9999999999999998	US	AE	0.46136048436164856	(0.2, 0.3]
Appknox, a leading mobile security testing platform, was recognized by Gartner in their latest Report	Gartner has identified Appknox as the leading solution for addressing mobile app security requirements	0.8736011815460772	['gartner']	['gartner']	0.9999999999999998	AE	AE	1.0000001192092896	(0.8, 0.9]
Bernstein believes that Infosys is well positioned in the cloud/digital space and will benefit as demand recovers	Indian IT companies including TCS, Infosys, and HCL Tech have reported a slowdown	0.3508342405792713	['infosys']	['infosys', 'tcs']	0.9956097681454849	IN	IN	1.0000001192092896	(0.3, 0.4]
IBM Cost of a Data Breach Report, companies with fully deployed security AI and automation systems save $3.05 million per data breach	Accenture, in 2016 Clive Butkow finally took the plunge and launched his own venture capital company	0.14267442413218712	['ibm']	['accenture']	0.7565876690497543	US	ZA	0.47965478897094727	(0.1, 0.2]
Wipro’s market capitalization fell by around Rs 94,000 crore	Infosys, Tata Consultancy Services, and Wipro have seen significant erosion in market cap as macroeconomic slowdown in the US and Europe clouded earnings growth outlook for the IT sector	0.5196020962729788	['wipro']	['infosys']	0.9898891257498994	IN	US	0.5367935299873352	(0.5, 0.6]
In the PRP reference document, Wipro tells candidates	Wipro has told all freshers, including those who have undergone training under its Velocity programme, that they will have to complete another training programme	0.5099724032917454	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.5, 0.6]
Wipro asks freshers to pass another assessment	Profile () Willis Towers Watson Plc engages in the provision of advisory, broking, and solutions services	0.1444951849718683	['wipro']	['willis towers watson']	0.6680139253025782	IN	IN	1.0000001192092896	(0.1, 0.2]
Willis Towers Watson Public Hedge funds have recently modified their holdings of the stock	Willis Towers Watson Public had a return on equity of 14.53% and a net margin of 11.38%	0.728892878598166	['willis towers watson']	['willis towers watson']	1.0000000000000002	IN	AM	0.41633740067481995	(0.7, 0.8]
Wipro Consumer Care and Lighting to acquire spice brand Brahmins	As quarterly results of TCS and Infosys have been disappointing	0.15512467373260527	['wipro']	['infosys', 'tcs']	0.9926287603087725	IN	IN	1.0000001192092896	(0.1, 0.2]
As TCS guidance failed to inject enthusiasm in the markets, Infosys	Infosys was also not able to lift the morale of Dalal Street bulls	0.5591705096279009	['infosys', 'tcs']	['infosys']	0.9956097681454849	IN	IN	1.0000001192092896	(0.5, 0.6]
AON to Release Earnings on Friday	AON to post $15 EPS for the current fiscal year and $16 EPS for the next fiscal year	0.5200103040216436	['aon']	['aon']	1.0000000000000002	IN	US	0.5367935299873352	(0.5, 0.6]
AON Increases Dividend Want More Great Investing Ideas	AON Set to Announce Earnings on Friday	0.539795637459915	['aon']	['aon']	1.0000000000000002	US	US	1.0	(0.5, 0.6]
The list of companies working with Amazon to design and deliver the new curricula includes Accenture, BNY Mellon, Bank of America, Citi, Deloitte EY, KPMG, and PwC	International Business Machines Co. gapped up prior to trading on Thursday following a stronger than expected earnings report	0.20698781413902462	['accenture', 'amazon']	['ibm']	0.7747472690478677	US	IN	0.5367935299873352	(0.2, 0.3]
International Business Machines had a return on equity of 41.24% and a net margin of 2.71%	More than 20 companies such as Tata Communications, Larsen & Toubro, Capgemini, Infosys and GMR have applied to obtain spectrum to deploy a captive 5G network	0.11991138921311956	['ibm']	['infosys']	0.7279356332899384	AM	IN	0.41633740067481995	(0.1, 0.2]
Comparatively, Accenture has a beta	Volatility & Risk Accenture has a beta	0.6558554360658835	['accenture']	['accenture']	1.0	IN	US	0.5367935299873352	(0.6, 0.7]
Conduent is trading at a lower price-to-earnings ratio than Accenture, indicating that it is currently the more affordable of the two stocks	Gartner, which found that 85%	0.18033367747444182	['accenture', 'conduent']	['gartner']	0.43559493155036966	US	US	1.0	(0.1, 0.2]
ITC, TCS, Asian Paints, L&T, Adani Enterprises and Wipro were among the gainers during the morning trade on Thursday while BCG, Gland, ICICI Securities and EKI Energy Services were some of the laggards on BSE	There was also little inspiration from the corporate world after Morgan Stanley and tech titan IBM reported better-than-expected earnings but Tesla missed expectations with profits down about a quarter	0.154621266071227	['wipro', 'adani enterprises']	['ibm', 'morgan stanley']	0.7238675056744074	IN	US	0.5367935299873352	(0.1, 0.2]
Tata Consultancy Services(#1) has emerged as thetopcompany this year	services and consulting firm Accenture, as well as the parent companies of fintech platforms GCash and Maya, led LinkedIns list this year	0.482866466407382	['tata consultancy services']	['accenture']	0.6139446416946888	IN	PH	0.5953400731086731	(0.4, 0.5]
Wipro Consumer Care & Lighting acquires Kerala-based ready-to-cook brand Brahmins	Part of Azim Premji-led Wipro Enterprises	0.4215616875080867	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.4, 0.5]
The Q4 prints of TCS, Infosys and HCL Tech have highlighted weakness and challenges in BFSI (Banking, Financial Services, Insurance), telecom, hi-tech, manufacturing and retail verticals as clients	It also means that three of IBM’s proprietary hardware platforms are now present in its cloud	0.4305115296655199	['infosys', 'tcs']	['ibm']	0.7216628560304008	IN	GB	0.5888364911079407	(0.4, 0.5]
IBM has taken a longer-than-usual stride towards making its proprietary hardware platforms cloudier, by offering bare metal LinuxONE boxes in the big blue cloud	IBM starts renting cloudy bare metal Linux almost-mainframes	0.7155406987076637	['ibm']	['ibm']	0.9999999999999999	GB	GB	1.0	(0.7, 0.8]
IBM promotes LinuxONE as offering just about the same level of hardware resilience as mainframes	IBM reckons greenfield sites	0.3707236487429148	['ibm']	['ibm']	0.9999999999999999	GB	GB	1.0	(0.3, 0.4]
HCL Tech shares climbed over 3% in early trade, whereas TCS, Infosys, and Wipro gained nearly 1% on the BSE	EU, the Bain report	0.23832513255537593	['infosys', 'tcs']	['bain & co.']	0.6929378065016671	IN	US	0.5367935299873352	(0.2, 0.3]
Kotak Mahindra, Asian Paints, Titan, Wipro and IndusInd Bank also opened higher	TCS and Infosys' very disappointing 4Q23 prints have brought this lingering concern	0.15359161330197116	['wipro', 'titan']	['infosys', 'tcs']	0.907145210391069	IN	IN	1.0000001192092896	(0.1, 0.2]
Working with Microsoft and Accenture, Leonardo	India's largest IT firm, Tata Consultancy Services , has emerged as the top company	0.14308983083181612	['accenture', 'leonardo']	['tata consultancy services']	0.5890664262758301	GB	IN	0.5888364911079407	(0.1, 0.2]
largest IT firm, Tata Consultancy Services , has emerged as the top company	TCS Tops Linkedin's 2023 List Of India's Best Companies	0.6021062761411055	['tata consultancy services']	['tata consultancy services']	1.0	IN	IN	1.0000001192092896	(0.6, 0.7]
Infosys Oracle practice has developed Infosys Solution Extension Platform, a scalable, multi-tenant SaaS-enabled platform that offers lower operating costs, easy maintenance, and upgrades	Chip manufacturer GlobalFoundries said today it had filed a lawsuit against IBM, accusing it of unlawfully sharing confidential intellectual property and trade secrets	0.08571493243677357	['infosys']	['ibm', 'globalfoundries']	0.9419587493972033	US	BE	0.47911712527275085	(-0.001, 0.1]
Gartner, which found 85% of its survey respondents	TCS, Infosys and Wipro are pretty much similar in terms of the service offerings, in terms of what they are trying to do, whereas HCL Tech always was differentiating	0.12005032050174388	['gartner']	['infosys', 'tcs']	0.43203626426154373	US	US	1.0	(0.1, 0.2]
Infosys, HCL Tech, Tata Steel and SBI are trading at PEs lower than their respective industry PEs, according to Trendlyne data	Tata Consultancy Services CEO K Krithivasan has been mandated to focus on customers	0.21811094873875186	['infosys', 'hcl technologies']	['tata consultancy services']	0.5944770635123326	IN	IN	1.0000001192092896	(0.2, 0.3]
This prediction is underscored by Gartner	like Google, IBM are teaching data analytics while Meta is teaching software development,” he said	0.14583271767921097	['gartner']	['ibm', 'google']	0.6095287445441131	US	IN	0.5367935299873352	(0.1, 0.2]
Industry leadersTata Consultancy Services and Infosysreported weaker-than-expected numbers but smaller rivals HCL Technologies, Mastek and Cyient surprised the Street positively	Infosys has given revenue guidance	0.44259485448393127	['tata consultancy services', 'tata consultancy services']	['infosys']	0.5863982315516021	US	IN	0.5367935299873352	(0.4, 0.5]
to ITC, companies like Reliance Industries, Tata Consultancy Services, HDFC, Infosys, ICICI Bank, Hindustan Unilever, Life Insurance Corp Of India, State Bank of India, and Bharti Airtel have achieved this milestone	at Ernst & Young LLP where he obtained his public accounting license	0.23082598381365535	['tata consultancy services']	['ernst & young llp']	0.40931906564606124	IN	BR	0.5977116823196411	(0.2, 0.3]
Prior to joining Bain Capital Credit, Jamie worked at Bain and Company where he focused a considerable amount of his time in the private equity group	Bain remains banned from public sector work	0.48450428589997224	['bain & co.', 'jamie']	['bain & co.']	0.9596248234103438	US	US	1.0	(0.4, 0.5]
Wipro will absorb Brahmins' current workforce, excluding the manufacturing workforce	Wipro Consumer Care acquires Kerala-based Brahmins brand	0.6715929858935354	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.6, 0.7]
after Morgan Stanley and tech titan IBM reported better-than-expected earnings but Tesla missed expectations with profits down about a quarter	Wipro Consumer Care and Lighting has acquired Kerala-based ready-to-cook brand Brahmins in an all-cash deal	0.0793739708955182	['ibm', 'morgan stanley']	['wipro']	0.7154683926103067	US	IN	0.5367935299873352	(-0.001, 0.1]
co Wipro Consumer Care buys Brahminsin all cash deal	Though Wipro Consumer Care didn’t disclose the size of the acquisition, its CEO Vineet Agrawal	0.6227970687674347	['wipro']	['wipro']	1.0000000000000002	IN	IN	1.0000001192092896	(0.6, 0.7]
He said IBM was working with Citi to use AI for auditing and compliance	IBM was working with Citi to use AI for auditing and compliance	1.0	['ibm', 'citibank']	['ibm']	0.9029351283182279	IN	IN	1.0000001192092896	(0.9, 1.0]
Last year, IBM said it was selling health-care data and analytics assets to Francisco Partners	IBM’s consulting unit delivered $4.96 billion in revenue, up almost 3% compared to the year-earlier period, but lower than the StreetAccount consensus	0.5302966793439495	['ibm']	['ibm']	0.9999999999999999	IN	IN	1.0000001192092896	(0.5, 0.6]
In terms of guidance, IBM called for full-year revenue growth of 3% to 5% in constant currency	Aon’s initiatives to help clients tackle climate risk here	0.12190418180757437	['ibm']	['aon']	0.7508252617635794	US	US	1.0	(0.1, 0.2]
Aon’s President Eric Andersen recently testified before the U.S. Senate Budget Committee to discuss the role insurance	Aon for seven ways to protect your home	0.24216344824104558	['aon']	['aon']	1.0000000000000002	US	US	1.0	(0.2, 0.3]
Additionally, Aon’s research shows that Hurricane Ian in the United States was the second-costliest natural catastrophe in history from an insurance perspective, with approximately $50-55 billion total insured losses	In the wake of Hurricane Ian, Aon sent a team of engineers, meteorologists and hydrologists to the impacted area	0.5263194897490624	['aon']	['aon']	1.0000000000000002	US	US	1.0	(0.5, 0.6]
IBM reported first-quarter revenue of US$14.3bil (RM63.4bil),	although growth at the Red Hat unit was 8%, the smallest increase since the business was acquired by IBM in 2019 for about US$33bil	0.5752064484515296	['ibm']	['ibm']	0.9999999999999999	US	US	1.0	(0.5, 0.6]
IBM continued to monetise intellectual property from that business unit after the completion of the deal	Wipro Consumer Care and Lighting agreed to acquire Kerala-based packaged foods company Brahmins Foods on Thursday,	0.2514579294634256	['ibm']	['wipro']	0.7214883526689106	US	IN	0.5367935299873352	(0.2, 0.3]
Additionally, Moderna and IBM scientists will use the MoLFormer AI model to help predict molecules' properties	Moderna taps IBM for healthcare AI capabilities	0.3992839519688308	['ibm', 'moderna']	['ibm', 'moderna']	1.0	US	US	1.0	(0.3, 0.4]
IBM also reduced its application portfolio by 35% through standardizing global processes and applying AIOps, said Kavanaugh	Accenture makes up approximately 2.1% of Clifford Swan Investment Counsel LLC's investment portfolio, making the stock its 7th largest holding	0.22797292456284726	['ibm']	['accenture']	0.7565876690497543	IN	US	0.5367935299873352	(0.2, 0.3]
Clifford Swan Investment Counsel LLC's holdings in Accenture were worth $49,108,000 as of its most recent SEC filing	Infosys had growth of 15. 4% and TCS 13. 7%	0.18482904944621026	['accenture']	['infosys']	0.9876830203831568	US	IN	0.5367935299873352	(0.1, 0.2]
Siemens and IBM collaborate to accelerate sustainable product development and operations	IBM and Siemens are collaborating on a digital thread environment to integrate sustainability practices throughout the lifecycle of a product	0.7622785126447447	['ibm', 'siemens ag']	['ibm']	0.8572559462618964	JP	US	0.5085175633430481	(0.7, 0.8]
Gartner’s revenue for the quarter was up 15.2% on a year-over-year basis	India’s top software exporters Tata Consultancy Services and Infosys underlined the “uncertain environment” and flagged a slowdown in decision making	0.08796572285953284	['gartner']	['tata consultancy services']	0.5327287005639606	US	IN	0.5367935299873352	(-0.001, 0.1]
Last week, India’s top software exporters Tata Consultancy Services and Infosys underlined the “uncertain environment” and flagged a slowdown in decision making, while reporting weaker than expected results	On the equity front, International Business Machines managed gains	0.21813315451609636	['tata consultancy services']	['ibm']	0.9563429069637989	IN	US	0.5367935299873352	(0.2, 0.3]
For private companies and private equity investors, non-core assets divested by larger companies may be attractive, PwCsaidin its Energy	KPMG acquired Adelaide-headquartered SAP partner Think180 for an undisclosed sum	0.2523449178790024	['pricewaterhousecoopers']	['kpmg']	0.6985875436212425	US	SG	0.38990819454193115	(0.2, 0.3]
In addition to the quantum systems, Moderna’s researchers will also access IBM’s foundational generative AI model	The intersection between generative AI and quantum computing is not the main focus at this time, but it is an area that Moderna and IBM intend	0.7754966748582957	['ibm', 'moderna therapeutics']	['ibm', 'moderna']	0.9928552618425751	US	US	1.0	(0.7, 0.8]
IBM has been expanding its investment in AI lately, with a particular focus on partnerships such as the one	the appointment of Ernst & Young LLP as our independent registered public accounting firm	0.19867998164559553	['ibm']	['ernst & young llp']	0.46026486268495787	US	FI	0.42841780185699463	(0.1, 0.2]
